'Elapsed time','EMG'
'seconds','mV'
0.172,-0.040
0.172,-0.038
0.172,-0.008
0.172,-0.007
0.172,0.007
0.173,0.007
0.173,0.012
0.173,0.010
0.173,0.012
0.174,0.012
0.174,0.007
0.174,0.007
0.174,0.010
0.175,0.010
0.175,0.017
0.175,0.018
0.175,0.022
0.176,0.022
0.176,0.018
0.176,0.023
0.176,0.027
0.177,0.025
0.177,0.028
0.177,0.027
0.177,0.030
0.178,0.030
0.178,0.038
0.178,0.038
0.178,0.050
0.179,0.050
0.179,0.058
0.179,0.060
0.179,0.063
0.180,0.062
0.180,0.057
0.180,0.058
0.180,0.053
0.181,0.055
0.181,0.047
0.181,0.047
0.181,0.043
0.182,0.045
0.182,0.037
0.182,0.037
0.182,0.032
0.183,0.030
0.183,0.022
0.183,0.022
0.183,0.028
0.184,0.028
0.184,0.032
0.184,0.030
0.184,0.033
0.185,0.030
0.185,0.033
0.185,0.033
0.185,0.038
0.186,0.038
0.186,0.047
0.186,0.047
0.186,0.053
0.187,0.055
0.187,0.063
0.187,0.065
0.188,0.078
0.188,0.080
0.188,0.075
0.188,0.077
0.189,0.085
0.189,0.085
0.189,0.075
0.189,0.073
0.190,0.055
0.190,0.055
0.190,0.032
0.190,0.030
0.191,0.017
0.191,0.015
0.191,-0.063
0.191,-0.078
0.192,-0.057
0.192,-0.055
0.192,-0.030
0.192,-0.030
0.193,0.013
0.193,0.015
0.193,0.080
0.193,0.080
0.194,0.097
0.194,0.098
0.194,0.080
0.194,0.078
0.195,0.045
0.195,0.043
0.195,0.025
0.195,0.023
0.196,0.017
0.196,0.017
0.196,0.013
0.196,0.015
0.197,0.000
0.197,-0.002
0.197,-0.018
0.197,-0.023
0.198,-0.002
0.198,0.002
0.198,0.097
0.198,0.100
0.199,0.150
0.199,0.152
0.199,0.168
0.199,0.167
0.200,0.097
0.200,0.352
0.200,0.072
0.200,0.067
0.201,0.335
0.201,0.137
0.201,-0.148
0.201,-0.205
0.202,-0.148
0.202,-0.145
0.202,-0.070
0.202,-0.067
0.203,-0.030
0.203,-0.028
0.203,-0.013
0.203,-0.013
0.203,-0.002
0.204,-0.002
0.204,0.007
0.204,0.007
0.204,0.003
0.205,0.005
0.205,-0.005
0.205,-0.007
0.205,-0.015
0.206,-0.015
0.206,-0.008
0.206,-0.010
0.206,-0.005
0.207,-0.005
0.207,-0.003
0.207,-0.003
0.207,-0.007
0.208,-0.007
0.208,-0.018
0.208,-0.020
0.208,-0.045
0.209,-0.045
0.209,-0.062
0.209,-0.062
0.209,-0.068
0.210,-0.068
0.210,-0.072
0.210,-0.070
0.210,-0.073
0.211,-0.073
0.211,-0.087
0.211,-0.087
0.211,-0.095
0.212,-0.095
0.212,-0.102
0.212,-0.102
0.212,-0.107
0.213,-0.107
0.213,-0.110
0.213,-0.108
0.213,-0.112
0.214,-0.113
0.214,-0.110
0.214,-0.108
0.214,-0.098
0.215,-0.097
0.215,-0.085
0.215,-0.085
0.215,-0.092
0.216,-0.092
0.216,-0.103
0.216,-0.103
0.216,-0.123
0.217,-0.125
0.217,-0.138
0.217,-0.138
0.217,-0.145
0.218,-0.143
0.218,-0.150
0.218,-0.150
0.218,-0.167
0.219,-0.168
0.219,-0.198
0.219,-0.200
0.220,-0.233
0.220,-0.233
0.220,-0.258
0.220,-0.260
0.221,-0.272
0.221,-0.273
0.221,-0.270
0.221,-0.272
0.222,-0.267
0.222,-0.270
0.222,-0.267
0.222,-0.267
0.223,-0.263
0.223,-0.265
0.223,-0.268
0.223,-0.268
0.224,-0.262
0.224,-0.262
0.224,-0.255
0.224,-0.257
0.225,-0.247
0.225,-0.248
0.225,-0.243
0.225,-0.243
0.226,-0.235
0.226,-0.235
0.226,-0.225
0.226,-0.225
0.227,-0.208
0.227,-0.208
0.227,-0.195
0.227,-0.193
0.228,-0.170
0.228,-0.168
0.228,-0.137
0.228,-0.137
0.229,-0.098
0.229,-0.098
0.229,-0.053
0.229,-0.052
0.230,-0.013
0.230,-0.013
0.230,0.007
0.230,0.007
0.231,0.013
0.231,0.013
0.231,0.022
0.231,0.018
0.232,0.023
0.232,0.023
0.232,0.028
0.232,0.028
0.233,0.035
0.233,0.033
0.233,0.042
0.233,0.042
0.234,0.048
0.234,0.048
0.234,0.053
0.234,0.053
