'Elapsed time','ECG ECG'
'seconds','mV'
0.954,-0.075
0.956,-0.067
0.958,-0.067
0.960,-0.071
0.962,-0.076
0.964,-0.079
0.966,-0.079
0.968,-0.076
0.970,-0.068
0.972,-0.059
0.974,-0.051
0.976,-0.044
0.978,-0.039
0.980,-0.038
0.982,-0.038
0.984,-0.039
0.986,-0.039
0.988,-0.037
0.990,-0.033
0.992,-0.028
0.994,-0.025
0.996,-0.023
0.998,-0.025
1.000,-0.029
1.002,-0.033
1.004,-0.036
1.006,-0.037
1.008,-0.034
1.010,-0.029
1.012,-0.023
1.014,-0.018
1.016,-0.014
1.018,-0.013
1.020,-0.013
1.022,-0.015
1.024,-0.016
1.026,-0.016
1.028,-0.014
1.030,-0.011
1.032,-0.007
1.034,-0.003
1.036,-0.000
1.038,0.001
1.040,0.002
1.042,0.001
1.044,0.000
1.046,0.000
1.048,0.001
1.050,0.002
1.052,0.005
1.054,0.009
1.056,0.012
1.058,0.016
1.060,0.019
1.062,0.022
1.064,0.024
1.066,0.026
1.068,0.028
1.070,0.031
1.072,0.034
1.074,0.037
1.076,0.041
1.078,0.045
1.080,0.049
1.082,0.053
1.084,0.057
1.086,0.060
1.088,0.062
1.090,0.063
1.092,0.064
1.094,0.066
1.096,0.070
1.098,0.075
1.100,0.082
1.102,0.089
1.104,0.097
1.106,0.104
1.108,0.111
1.110,0.119
1.112,0.128
1.114,0.136
1.116,0.145
1.118,0.153
1.120,0.160
1.122,0.166
1.124,0.171
1.126,0.176
1.128,0.182
1.130,0.188
1.132,0.194
1.134,0.201
1.136,0.208
1.138,0.215
1.140,0.222
1.142,0.228
1.144,0.235
1.146,0.241
1.148,0.247
1.150,0.253
1.152,0.258
1.154,0.262
1.156,0.267
1.158,0.271
1.160,0.274
1.162,0.277
1.164,0.278
1.166,0.277
1.168,0.274
1.170,0.268
1.172,0.260
1.174,0.249
1.176,0.238
1.178,0.226
1.180,0.214
1.182,0.203
1.184,0.192
1.186,0.181
1.188,0.169
1.190,0.157
1.192,0.144
1.194,0.130
1.196,0.115
1.198,0.100
1.200,0.085
1.202,0.071
1.204,0.059
1.206,0.048
1.208,0.039
1.210,0.030
1.212,0.022
1.214,0.014
1.216,0.006
1.218,-0.002
1.220,-0.009
1.222,-0.016
1.224,-0.022
1.226,-0.028
1.228,-0.032
1.230,-0.036
1.232,-0.039
1.234,-0.041
1.236,-0.043
1.238,-0.043
1.240,-0.044
1.242,-0.045
1.244,-0.046
1.246,-0.048
1.248,-0.050
1.250,-0.051
1.252,-0.051
1.254,-0.050
1.256,-0.049
1.258,-0.048
1.260,-0.048
1.262,-0.049
1.264,-0.050
1.266,-0.051
1.268,-0.053
1.270,-0.055
1.272,-0.056
1.274,-0.056
1.276,-0.056
1.278,-0.055
1.280,-0.053
1.282,-0.051
1.284,-0.050
1.286,-0.050
1.288,-0.050
1.290,-0.051
1.292,-0.052
1.294,-0.053
1.296,-0.053
1.298,-0.054
1.300,-0.055
1.302,-0.056
1.304,-0.056
1.306,-0.057
1.308,-0.056
1.310,-0.055
1.312,-0.054
1.314,-0.052
1.316,-0.052
1.318,-0.052
1.320,-0.053
1.322,-0.054
1.324,-0.055
1.326,-0.056
1.328,-0.056
1.330,-0.056
1.332,-0.055
1.334,-0.055
1.336,-0.056
